Academic year,Economic Development Region,Institution,International_Domestic,Headcount
2018/2019,Lower Mainland,Douglas College,Domestic,"20,685"
2018/2019,Lower Mainland,Douglas College,International,"4,625"
2018/2019,Lower Mainland,Kwantlen Polytechnic University,Domestic,"16,605"
2018/2019,Lower Mainland,Kwantlen Polytechnic University,International,"4,965"
2018/2019,Lower Mainland,Langara College,Domestic,"15,645"
2018/2019,Lower Mainland,Langara College,International,"7,160"
2018/2019,Lower Mainland,Vancouver Community College,Domestic,"13,895"
2018/2019,Lower Mainland,Vancouver Community College,International,"1,620"
2018/2019,Lower Mainland,University Of The Fraser Valley,Domestic,"13,540"
2018/2019,Lower Mainland,University Of The Fraser Valley,International,"2,350"
2018/2019,Lower Mainland,Capilano University,Domestic,"7,650"
2018/2019,Lower Mainland,Capilano University,International,"2,895"
2018/2019,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,000"
2018/2019,Lower Mainland,Emily Carr University Of Art And Design,International,575
2018/2019,Vancouver Island and Coast,University Of Victoria,Domestic,"19,850"
2018/2019,Vancouver Island and Coast,University Of Victoria,International,"4,380"
2018/2019,Vancouver Island and Coast,Camosun College,Domestic,"19,385"
2018/2019,Vancouver Island and Coast,Camosun College,International,"2,085"
2018/2019,Vancouver Island and Coast,Vancouver Island University,Domestic,"12,010"
2018/2019,Vancouver Island and Coast,Vancouver Island University,International,"2,565"
2018/2019,Vancouver Island and Coast,North Island College,Domestic,"7,650"
2018/2019,Vancouver Island and Coast,North Island College,International,565
2018/2019,Vancouver Island and Coast,Royal Roads University,Domestic,"3,600"
2018/2019,Vancouver Island and Coast,Royal Roads University,International,835
2018/2019,Thompson Okanagan,Thompson Rivers University,Domestic,"29,230"
2018/2019,Thompson Okanagan,Thompson Rivers University,International,"6,400"
2018/2019,Thompson Okanagan,Okanagan College,Domestic,"19,485"
2018/2019,Thompson Okanagan,Okanagan College,International,"1,910"
2018/2019,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"8,250"
2018/2019,Thompson Okanagan,University Of British Columbia Okanagan,International,"1,885"
2018/2019,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,500"
2018/2019,Thompson Okanagan,Nicola Valley Institute Of Technology,International,10
2018/2019,Cariboo,College Of New Caledonia,Domestic,"6,545"
2018/2019,Cariboo,College Of New Caledonia,International,"1,755"
2018/2019,Cariboo,University Of Northern British Columbia,Domestic,"3,590"
2018/2019,Cariboo,University Of Northern British Columbia,International,455
2018/2019,Kootenay,Selkirk College,Domestic,"9,120"
2018/2019,Kootenay,Selkirk College,International,"1,455"
2018/2019,Kootenay,College Of The Rockies,Domestic,"10,215"
2018/2019,Kootenay,College Of The Rockies,International,630
2018/2019,North,Coast Mountain College,Domestic,"3,115"
2018/2019,North,Coast Mountain College,International,280
2018/2019,North,Northern Lights College,Domestic,"2,675"
2018/2019,North,Northern Lights College,International,730
2019/2020,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,935"
2019/2020,Lower Mainland,University Of British Columbia Vancouver,International,"16,635"
2019/2020,Lower Mainland,British Columbia Institute Of Technology,Domestic,"37,470"
2019/2020,Lower Mainland,British Columbia Institute Of Technology,International,"5,920"
2019/2020,Lower Mainland,Simon Fraser University,Domestic,"25,795"
2019/2020,Lower Mainland,Simon Fraser University,International,"8,260"
2019/2020,Lower Mainland,Justice Institute Of British Columbia,Domestic,"29,460"
2019/2020,Lower Mainland,Justice Institute Of British Columbia,International,"1,610"
2019/2020,Lower Mainland,Douglas College,Domestic,"20,415"
2019/2020,Lower Mainland,Douglas College,International,"4,540"
2019/2020,Lower Mainland,Kwantlen Polytechnic University,Domestic,"15,495"
2019/2020,Lower Mainland,Kwantlen Polytechnic University,International,"5,135"
2019/2020,Lower Mainland,Langara College,Domestic,"14,825"
2019/2020,Lower Mainland,Langara College,International,"6,435"
2019/2020,Lower Mainland,Vancouver Community College,Domestic,"12,425"
2019/2020,Lower Mainland,Vancouver Community College,International,"2,020"
2019/2020,Lower Mainland,University Of The Fraser Valley,Domestic,"12,830"
2019/2020,Lower Mainland,University Of The Fraser Valley,International,"2,235"
2019/2020,Lower Mainland,Capilano University,Domestic,251
2019/2020,Lower Mainland,Capilano University,International,"3,140"
2019/2020,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"2,810"
2019/2020,Lower Mainland,Emily Carr University Of Art And Design,International,605
2019/2020,Vancouver Island and Coast,University Of Victoria,Domestic,"20,000"
2019/2020,Vancouver Island and Coast,University Of Victoria,International,"4,450"
2019/2020,Vancouver Island and Coast,Camosun College,Domestic,"14,905"
2019/2020,Vancouver Island and Coast,Camosun College,International,"1,980"
2019/2020,Vancouver Island and Coast,Vancouver Island University,Domestic,"11,725"
2019/2020,Vancouver Island and Coast,Vancouver Island University,International,"2,115"
2019/2020,Vancouver Island and Coast,North Island College,Domestic,"6,620"
2019/2020,Vancouver Island and Coast,North Island College,International,580
2019/2020,Vancouver Island and Coast,Royal Roads University,Domestic,"3,690"
2019/2020,Vancouver Island and Coast,Royal Roads University,International,885
2019/2020,Thompson Okanagan,Thompson Rivers University,Domestic,"27,925"
2019/2020,Thompson Okanagan,Thompson Rivers University,International,"6,925"
2019/2020,Thompson Okanagan,Okanagan College,Domestic,"15,760"
2019/2020,Thompson Okanagan,Okanagan College,International,"1,980"
2019/2020,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"8,680"
2019/2020,Thompson Okanagan,University Of British Columbia Okanagan,International,"2,210"
2019/2020,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,465"
2019/2020,Thompson Okanagan,Nicola Valley Institute Of Technology,International,15
2019/2020,Cariboo,College Of New Caledonia,Domestic,"5,275"
2019/2020,Cariboo,College Of New Caledonia,International,"2,000"
2019/2020,Cariboo,University Of Northern British Columbia,Domestic,"3,425"
2019/2020,Cariboo,University Of Northern British Columbia,International,470
2019/2020,Kootenay,Selkirk College,Domestic,"7,225"
2019/2020,Kootenay,Selkirk College,International,"1,295"
2019/2020,Kootenay,College Of The Rockies,Domestic,"7,175"
2019/2020,Kootenay,College Of The Rockies,International,490
2019/2020,North,Coast Mountain College,Domestic,"2,110"
2019/2020,North,Coast Mountain College,International,395
2019/2020,North,Northern Lights College,Domestic,"2,395"
2019/2020,North,Northern Lights College,International,630
